latitude,longitude
571336.556,430114.246
537356.402,406957.745
632709.338,417810.652
521677.849,461904.716
522211.42,447026.853
522048.235,445995.138
522097.66,464297.548
520663.044,461929.067
522344.539,463223.657
520894.573,465441.913
521422.686,453361.033
524156.729,461620.703
523101.954,461379.842
523480.777,448103.044
523897.632,460824.203
540937.287,385023.229
525748.972,442827.993
593859.63,404848.282
550545.834,432256.952
565833.972,426055.547
611776.313,419602.595
538976.792,411577.761
534982.316,417682.193
520954.552,429304.529
536559.559,420143.591
536774.609,415205.456
538009.583,416600.061
538439.795,387605.654
536428.273,416314.239
514289.776,440953.607
532189.226,418107.218
537801.398,390944.05
539256.684,385114.844
539042.483,399298.365
534917.36,420342.574
531380.521,414603.54
535093.482,414807.781
540433.069,416754.491
539604.489,414531.366
535318.964,430973.421
533935.799,422272.229
531552.677,429973.622
532244.193,428308.878
532124.322,427246.984
540507.751,426648.865
534763.454,427442.03
532579.037,423240.261
563688.206,413627.264
539307.9,438010.352
537878.055,440252.463
537248.578,440049.242
535414.624,441061.593
535508.832,416162.46
535577.552,425848.356
531229.103,424855.754
534034.788,425863.957
564949.796,398704.623
537267.682,427543.376
534773.809,425224.864
537274.219,422611.576
540182.301,428265.333
539696.559,423301.235
536550.329,418408.555
533286.45,418686.698
536119.099,417092.556
534320.587,416546.472
537543.74,415801.023
563111.529,394581.056
534840.635,426529.372
516360.886,428631.672
570810.084,429062.643
538089.195,445079.164
540606.522,444415.775
540155.244,441675.791
536940.649,443013.391
627799.504,398982.11
536189.328,442023.717
541891.968,394333.95
566362.121,426713.546
571538.114,436227.224
587109.485,427460.305
533493.558,430887.755
539202.247,421817.07
533807.507,433708.938
513515.108,453388.224
572171.489,435667.789
532578.852,426503.025
533696.15,428292.129
532303.856,425296.363
541504.003,431278.764
536572.309,438133.809
539669.176,442598.456
540295.271,440917.172
541996.548,418629.526
543371.854,419819.185
533657.994,436942.599
535277.028,437367.621
533458.313,435626.033
538646.267,438570.599
558938.895,438290.273
558394.555,440393.634
555639.933,436938.289
556110.809,440217.335
556815.611,439448.165
557993.893,436190.78
555036.872,440819.952
533242.973,436632.46
538805.228,446680.032
539087.698,441771.936
554778.56,427974.591
555993.468,427919
543044.586,421414.494
547454.418,416719.029
547801.959,419058.016
548267.999,395034.317
544700.855,409486.459
541860.407,409124.411
550143.142,416821.211
542360.622,423284.09
542242.993,427824.008
543731.761,423804.128
545700.184,423462.928
540971.149,439842.029
550174.582,432195.679
518260.999,454143.159
517636.167,454202.683
517935.433,455247.838
